Внешний код,Название,ID,Основной раздел,Источник данных
720380,Вольфрамовый электрод  WL-20 3.0мм,695650,Электроды,Импорт 1С
X43302124,Кабельная розетка  ТВ 35-50 711Р001103,695651,Розетки,Импорт 1С
X1691310154,"Муфта ALTSTREAM 26*1""M НР м/п(уп.25 шт) 002020607",695652,Муфты обжимные для труб,Импорт 1С
X169254650,"Кран шар. Bugatti F*F 302 1/2""",695653,Арматура запорная и регулирующая,Импорт 1С
X16913840255,Кран шаровой ГАЛЛОП DN-15 КРЕПЫШ 332 бабочка с удлинителем ник. 0103217,695654,Арматура запорная и регулирующая,Импорт 1С
X16913840263,Кран шаровой ГАЛЛОП DN-20 СТАНДАРТ 221 В*Н 0103184,695655,Арматура запорная и регулирующая,Импорт 1С
X16913840265,Кран шаровой ГАЛЛОП DN-20 СТАНДАРТ 231 бабочка В*Н 0103188,695656,Арматура запорная и регулирующая,Импорт 1С
X1691385934,Тройник ALTSTREAM в.р. 1*3/4*1 003040203,695657,Латунные фитинги,Импорт 1С
X1691385731,"Клапан обратный ITAP EUROPA 100 1/2""",695658,Клапаны,Импорт 1С
X4289119,Кран FUSITEK рад. прямой 25*3/4 (FT07302),695659,Арматура запорная и регулирующая,Импорт 1С
X428900073,Кран FUSITEK рад. угловой 25Х3/4 (FT07402),695660,Арматура запорная и регулирующая,Импорт 1С
X428900063,Муфта FUSITEK раз. ВР 32Х1 (FT05603),695661,Полипропиленовые муфты и переходники,Импорт 1С
X428900057,Угол полипропиленовый FUSITEK НР 32Х1 (FT04508) с наружной резьбой,695662,Полипропиленовые уголки для труб,Импорт 1С
X4289167,Фильтр полипропиленовый FUSITEK 32 FT07603,695663,Пластиковые фитинг-фильтры и полифосфатные,Импорт 1С
X6994328126,Кронштейн  415х450,695665,Для кондиционеров,Импорт 1С
X6994384,Лента Kraft клейкая 48мм*46м TPL,695666,Ленты,Импорт 1С
Х1308414,"Щупы автомобильные ЗУБР 4325-H20_z01, 0.05-1.00мм, 20 шт.",695667,Ручной инструмент для шиномонтажа,Импорт 1С
77777X1880627,Свеча зажигания STIHL  00004007016,695668,Свечи зажигания,Импорт 1С
X1329142,Зажим обратного кабеля ESAB 6001,695669,Клеммы заземления,Импорт 1С
720382,Вольфрамовый электрод  WI-20 3.0мм,695670,Электроды,Импорт 1С
77777X72052,Вольфрамовый электрод  WP 3.0мм,695671,Электроды,Импорт 1С
X132804156,Перчатки Stihl MECHANIG XL 00008841184,695672,Перчатки трикотажные (хлопчатобумажные),Импорт 1С
X4330245,Розетка панельная TBi 35-50 711P001104,695673,Розетки,Импорт 1С
X27903143,Вилка IEK каб. 32А 3Р+Е 380В 024,695674,Розетки,Импорт 1С
X1699873,"Кран шаровой ITAP п/пр В-В 1/2""(бабочка) уп.12 092",695675,Арматура запорная и регулирующая,Импорт 1С
X699145441935817,"Колено пластиковое для воздуховодов ЭРА 620КГП, 60x204 мм",695676,Колена пластиковые для воздуховодов,Импорт 1С
X186125259,"Напильник плоский STIHL 08142523356, 150 мм",695677,Напильники,Импорт 1С
